avaliacao,nota,sentimento
"Valeu o preço, a compra é maravilhoso.",4,positivo
"Entrega rápida, comum, sem destaque.",3,neutro
"Entrega rápida, a compra é ótimo.",5,positivo
"Valeu o preço, a entrega é excelente.",5,positivo
"Recomendo, o pedido é maravilhoso.",4,positivo
"O atendimento é péssimo, porém chegou rápido, veio com defeito.",2,negativo
"Abaixo do esperado, a compra é horrível, ainda assim a embalagem era bonita.",3,neutro
"A entrega é bacana, boa qualidade.",4,positivo
"A embalagem é horrível, chegou quebrado.",1,negativo
"Poderia ser melhor, o produto é decepcionante.",3,neutro
"Tive problema na troca, o atendimento é péssimo.",2,negativo
"O pedido é incrível, superou as expectativas.",5,positivo
Razoável pelo preço.,5,positivo
"A compra é fraco, poderia ser melhor.",1,negativo
"Veio com defeito, razoável pelo preço.",3,neutro
"A embalagem é bacana, superou as expectativas.",5,positivo
"O produto é ótimo, superou as expectativas.",4,positivo
"Chegou antes do prazo, o atendimento é excelente.",5,positivo
"Dentro do esperado, cumpre o que promete.",3,neutro
"Entrega rápida, o produto é incrível.",4,positivo
"A entrega é fraco, veio com defeito.",1,negativo
Atende ao básico.,3,neutro
"A embalagem é horrível, abaixo do esperado.",2,negativo
É ok.,5,positivo
"O produto é impecável, recomendo, mas a entrega demorou um pouco.",4,positivo
"Superou as expectativas, a compra é impecável.",4,positivo
"A embalagem é fraco, veio com defeito.",2,negativo
"A embalagem é ruim, veio com defeito.",2,negativo
"Entrega rápida, a embalagem é impecável.",5,positivo
"O produto é horrível, tive problema na troca.",2,negativo
"O produto é horrível, poderia ser melhor.",1,negativo
"Veio com defeito, o pedido é frustrante.",4,positivo
Razoável pelo preço.,5,positivo
"Cumpre o que promete, mediano.",3,neutro
"Chegou quebrado, o atendimento é decepcionante, mas o atendimento tentou ajudar.",4,positivo
Atende ao básico.,3,neutro
"O produto é impecável, chegou antes do prazo.",5,positivo
"A compra é incrível, atendimento atencioso.",4,positivo
"A embalagem é frustrante, tive problema na troca.",4,positivo
"Comum, sem destaque, comum, sem destaque.",3,neutro
"Comum, sem destaque, cumpre o que promete.",3,neutro
"O pedido é fraco, não recomendo.",5,positivo
"Chegou quebrado, a compra é frustrante.",3,neutro
"Razoável pelo preço, mediano.",3,neutro
"Comum, sem destaque.",3,neutro
"Só achei meio caro, a entrega é perfeito, recomendo.",4,positivo
Cumpre o que promete.,3,neutro
Razoável pelo preço.,3,neutro
"O produto é péssimo, poderia ser melhor.",2,negativo
"Poderia ser melhor, a entrega é péssimo.",1,negativo
"Chegou quebrado, a embalagem é decepcionante.",2,negativo
"Não recomendo, a embalagem é decepcionante.",2,negativo
"O produto é maravilhoso, valeu o preço.",5,positivo
"O atendimento é impecável, boa qualidade.",4,positivo
"A embalagem é bacana, voltarei a comprar, apesar de um arranhão na caixa.",4,positivo
"O atendimento é ótimo, superou as expectativas.",5,positivo
"O pedido é horrível, chegou quebrado.",3,neutro
Atende ao básico.,3,neutro
"Entrega rápida, a compra é excelente.",5,positivo
"Chegou quebrado, o produto é péssimo.",5,positivo
"Ainda assim a embalagem era bonita, a entrega é decepcionante, tive problema na troca.",2,negativo
"O produto é maravilhoso, apesar de um arranhão na caixa, valeu o preço.",5,positivo
"Abaixo do esperado, o produto é frustrante.",1,negativo
"Esperava mais mas serve, dentro do esperado.",5,positivo
"Chegou quebrado, o produto é fraco.",1,negativo
"Atende ao básico, entrega rápida.",3,neutro
"Veio com defeito, a compra é ruim.",1,negativo
"Não recomendo, o pedido é fraco.",5,positivo
Mediano.,4,positivo
"Poderia ser melhor, o atendimento é frustrante.",2,negativo
"Apesar de um arranhão na caixa, valeu o preço, o atendimento é bacana.",5,positivo
"Não recomendo, o atendimento é péssimo.",2,negativo
"Abaixo do esperado, o produto é frustrante.",2,negativo
Mediano.,3,neutro
"O pedido é excelente, superou as expectativas.",5,positivo
"Entrega rápida, atende ao básico.",4,positivo
"Esperava mais mas serve, demorou para chegar.",3,neutro
"Apesar de um arranhão na caixa, a entrega é bacana, chegou antes do prazo.",5,positivo
"O pedido é decepcionante, poderia ser melhor.",5,positivo
"O atendimento é ruim, ainda assim a embalagem era bonita, poderia ser melhor.",1,negativo
"Chegou antes do prazo, a embalagem é muito bom.",5,positivo
"Atende ao básico, esperava mais mas serve.",5,positivo
"Tive problema na troca, atende ao básico, dentro do esperado.",3,neutro
"A embalagem é horrível, poderia ser melhor.",2,negativo
"O pedido é fraco, poderia ser melhor.",2,negativo
"Atendimento atencioso, a embalagem é perfeito.",5,positivo
"Mas a entrega demorou um pouco, a embalagem é muito bom, recomendo.",5,positivo
"Valeu o preço, a entrega é muito bom.",5,positivo
"Entrega rápida, a embalagem é impecável.",4,positivo
"A compra é horrível, demorou para chegar.",1,negativo
"O pedido é bacana, atendimento atencioso.",5,positivo
"Mediano, comum, sem destaque.",3,neutro
É ok.,3,neutro
"Boa qualidade, a entrega é incrível.",5,positivo
"O pedido é fraco, veio com defeito.",2,negativo
"Comum, sem destaque, atende ao básico.",3,neutro
"O produto é bacana, boa qualidade.",1,negativo
"Boa qualidade, o atendimento é maravilhoso.",5,positivo
"Dentro do esperado, atende ao básico.",3,neutro
"O atendimento é incrível, voltarei a comprar.",4,positivo
"Comum, sem destaque, esperava mais mas serve, recomendo.",4,positivo
"Poderia ser melhor, o atendimento é ruim.",4,positivo
Esperava mais mas serve.,3,neutro
"O pedido é ótimo, voltarei a comprar, mas a entrega demorou um pouco.",4,positivo
"Boa qualidade, o produto é ótimo, mas a entrega demorou um pouco.",5,positivo
"A embalagem é perfeito, superou as expectativas.",5,positivo
"O pedido é frustrante, tive problema na troca.",2,negativo
"Boa qualidade, a embalagem é perfeito.",5,positivo
"Mas a entrega demorou um pouco, chegou antes do prazo, o produto é maravilhoso.",4,positivo
"O atendimento é incrível, boa qualidade.",5,positivo
"Demorou para chegar, o pedido é horrível.",5,positivo
"A embalagem é frustrante, poderia ser melhor.",1,negativo
"A entrega é ruim, demorou para chegar.",5,positivo
"A compra é péssimo, poderia ser melhor.",2,negativo
"Abaixo do esperado, o produto é horrível.",1,negativo
"Valeu o preço, o produto é incrível, mas a entrega demorou um pouco.",4,positivo
Razoável pelo preço.,5,positivo
"Chegou antes do prazo, o produto é impecável.",5,positivo
"Não recomendo, o produto é ruim.",2,negativo
"A embalagem é horrível, chegou quebrado.",2,negativo
"Voltarei a comprar, a entrega é ótimo.",5,positivo
"Mediano, esperava mais mas serve.",3,neutro
"Boa qualidade, a embalagem é impecável.",5,positivo
Razoável pelo preço.,3,neutro
"A embalagem é maravilhoso, valeu o preço.",4,positivo
"A compra é frustrante, demorou para chegar.",1,negativo
"A embalagem é decepcionante, poderia ser melhor.",2,negativo
"O pedido é péssimo, não recomendo.",1,negativo
"A entrega é fraco, tive problema na troca.",1,negativo
"Esperava mais mas serve, valeu o preço.",3,neutro
"Mediano, atende ao básico.",3,neutro
"Abaixo do esperado, a embalagem é ruim.",2,negativo
"Veio com defeito, a entrega é ruim.",1,negativo
"Recomendo, o produto é bacana.",4,positivo
"O atendimento é maravilhoso, recomendo.",5,positivo
Mediano.,3,neutro
"A embalagem é excelente, boa qualidade.",5,positivo
"Razoável pelo preço, abaixo do esperado.",4,positivo
"A compra é bacana, boa qualidade, só achei meio caro.",5,positivo
"Não recomendo, o produto é frustrante.",2,negativo
"A embalagem é ruim, demorou para chegar.",1,negativo
"Veio com defeito, a compra é horrível.",3,neutro
"Valeu o preço, o atendimento é impecável.",4,positivo
"Recomendo, a entrega é maravilhoso.",4,positivo
"A entrega é ótimo, valeu o preço.",5,positivo
"Valeu o preço, a embalagem é incrível.",5,positivo
"O pedido é bacana, só achei meio caro, valeu o preço.",4,positivo
Razoável pelo preço.,3,neutro
"A compra é decepcionante, abaixo do esperado, ainda assim a embalagem era bonita.",1,negativo
É ok.,3,neutro
"Atendimento atencioso, a compra é maravilhoso.",5,positivo
"Comum, sem destaque.",3,neutro
"Atendimento atencioso, o pedido é maravilhoso.",5,positivo
"Cumpre o que promete, dentro do esperado.",3,neutro
"A entrega é excelente, entrega rápida.",4,positivo
"Apesar de um arranhão na caixa, recomendo, a entrega é muito bom.",4,positivo
"Veio com defeito, a compra é ruim.",2,negativo
"Recomendo, o pedido é muito bom.",4,positivo
"Cumpre o que promete, dentro do esperado.",3,neutro
"Comum, sem destaque, boa qualidade.",3,neutro
"A embalagem é muito bom, mas a entrega demorou um pouco, valeu o preço.",4,positivo
"Não recomendo, razoável pelo preço, dentro do esperado.",3,neutro
"A compra é fraco, veio com defeito.",1,negativo
"O pedido é fraco, poderia ser melhor.",2,negativo
"O pedido é péssimo, não recomendo.",2,negativo
"Comum, sem destaque.",1,negativo
"Veio com defeito, a compra é frustrante.",2,negativo
"O atendimento é maravilhoso, voltarei a comprar.",5,positivo
"Boa qualidade, a embalagem é ótimo.",4,positivo
"O produto é decepcionante, não recomendo.",1,negativo
"O atendimento é bacana, superou as expectativas.",4,positivo
"Abaixo do esperado, a entrega é decepcionante.",1,negativo
"Esperava mais mas serve, dentro do esperado.",3,neutro
"Superou as expectativas, o atendimento é incrível.",4,positivo
"A entrega é péssimo, abaixo do esperado, ainda assim a embalagem era bonita.",2,negativo
"Recomendo, a embalagem é impecável.",4,positivo
"Abaixo do esperado, a compra é ruim.",1,negativo
"O atendimento é incrível, valeu o preço.",5,positivo
"A compra é excelente, atendimento atencioso.",4,positivo
"A embalagem é bacana, voltarei a comprar.",4,positivo
"Atendimento atencioso, atende ao básico, razoável pelo preço.",1,negativo
Razoável pelo preço.,3,neutro
Atende ao básico.,3,neutro
"O atendimento é impecável, voltarei a comprar.",4,positivo
"A embalagem é impecável, mas a entrega demorou um pouco, valeu o preço.",4,positivo
"A compra é muito bom, chegou antes do prazo.",4,positivo
"Entrega rápida, a embalagem é perfeito.",5,positivo
"O atendimento é muito bom, recomendo.",5,positivo
"Valeu o preço, o pedido é impecável.",5,positivo
"O pedido é excelente, apesar de um arranhão na caixa, entrega rápida.",5,positivo
"Boa qualidade, a entrega é muito bom.",5,positivo
"Chegou quebrado, a entrega é frustrante.",5,positivo
"Voltarei a comprar, a embalagem é perfeito.",5,positivo
Dentro do esperado.,3,neutro
"Mediano, mediano, não recomendo.",3,neutro
"Chegou antes do prazo, o pedido é ótimo.",5,positivo
Esperava mais mas serve.,3,neutro
"Recomendo, o produto é ótimo.",4,positivo
"A embalagem é impecável, superou as expectativas.",4,positivo
"A compra é ruim, chegou quebrado.",2,negativo
"Comum, sem destaque, esperava mais mas serve.",3,neutro
Cumpre o que promete.,1,negativo
"O atendimento é muito bom, entrega rápida.",5,positivo
"Recomendo, o atendimento é excelente.",5,positivo
"Razoável pelo preço, veio com defeito.",3,neutro
"A embalagem é ótimo, boa qualidade.",4,positivo
É ok.,4,positivo
"O atendimento é muito bom, superou as expectativas.",4,positivo
"O atendimento é ruim, porém chegou rápido, veio com defeito.",2,negativo
"Veio com defeito, o atendimento é frustrante.",2,negativo
"O atendimento é perfeito, entrega rápida.",5,positivo
"Comum, sem destaque, mediano.",4,positivo
Razoável pelo preço.,3,neutro
"Chegou quebrado, a entrega é ruim, porém chegou rápido.",1,negativo
"A embalagem é maravilhoso, atendimento atencioso.",4,positivo
"A entrega é ruim, abaixo do esperado.",2,negativo
"A embalagem é bacana, superou as expectativas.",3,neutro
Cumpre o que promete.,3,neutro
"O pedido é ótimo, valeu o preço.",5,positivo
"Chegou quebrado, o produto é decepcionante.",2,negativo
"O atendimento é incrível, boa qualidade.",5,positivo
"Boa qualidade, a embalagem é impecável.",5,positivo
"O atendimento é ótimo, recomendo.",5,positivo
"Valeu o preço, a entrega é incrível.",4,positivo
"Dentro do esperado, esperava mais mas serve.",3,neutro
É ok.,3,neutro
"A compra é ótimo, valeu o preço.",5,positivo
"Só achei meio caro, o produto é impecável, recomendo.",2,negativo
"Demorou para chegar, porém chegou rápido, o atendimento é horrível.",5,positivo
Razoável pelo preço.,5,positivo
"Entrega rápida, o produto é impecável.",5,positivo
"É ok, dentro do esperado.",5,positivo
"A embalagem é maravilhoso, superou as expectativas.",5,positivo
"O atendimento é bacana, voltarei a comprar.",5,positivo
"Valeu o preço, o pedido é ótimo, apesar de um arranhão na caixa.",5,positivo
"Não recomendo, o atendimento é frustrante.",3,neutro
"Atendimento atencioso, o pedido é muito bom.",5,positivo
"Atendimento atencioso, a entrega é ótimo.",2,negativo
"Entrega rápida, mas a entrega demorou um pouco, o atendimento é excelente.",4,positivo
"O atendimento é péssimo, tive problema na troca.",1,negativo
"Voltarei a comprar, o produto é bacana.",5,positivo
"Voltarei a comprar, a compra é maravilhoso.",4,positivo
"Superou as expectativas, a compra é perfeito.",5,positivo
"Recomendo, o atendimento é muito bom.",5,positivo
"O produto é horrível, poderia ser melhor.",2,negativo
"Voltarei a comprar, o atendimento é excelente.",4,positivo
"Entrega rápida, a entrega é bacana, apesar de um arranhão na caixa.",4,positivo
"O pedido é incrível, superou as expectativas.",5,positivo
"A embalagem é muito bom, superou as expectativas.",5,positivo
"Ainda assim a embalagem era bonita, abaixo do esperado, o produto é decepcionante.",2,negativo
"A entrega é frustrante, chegou quebrado.",1,negativo
"Entrega rápida, o produto é bacana.",5,positivo
"Boa qualidade, o pedido é bacana.",5,positivo
"A embalagem é maravilhoso, entrega rápida.",4,positivo
"A entrega é excelente, chegou antes do prazo.",4,positivo
"Comum, sem destaque.",3,neutro
"A embalagem é muito bom, superou as expectativas.",5,positivo
"O pedido é horrível, chegou quebrado.",4,positivo
"A compra é ótimo, entrega rápida, só achei meio caro.",5,positivo
"Entrega rápida, a compra é muito bom.",5,positivo
"Recomendo, o pedido é bacana.",4,positivo
"A compra é impecável, valeu o preço.",5,positivo
"Atendimento atencioso, mas a entrega demorou um pouco, o atendimento é impecável.",5,positivo
"Demorou para chegar, porém chegou rápido, o produto é frustrante.",1,negativo
"O pedido é frustrante, demorou para chegar.",2,negativo
"Voltarei a comprar, o atendimento é ótimo.",5,positivo
"O produto é péssimo, veio com defeito.",1,negativo
"Recomendo, o pedido é maravilhoso.",5,positivo
"Atendimento atencioso, o atendimento é excelente.",4,positivo
"Valeu o preço, a embalagem é muito bom.",5,positivo
Atende ao básico.,3,neutro
"Só achei meio caro, recomendo, o pedido é excelente.",4,positivo
"A compra é fraco, tive problema na troca.",2,negativo
"O produto é muito bom, superou as expectativas.",4,positivo
"A entrega é péssimo, poderia ser melhor.",2,negativo
"Entrega rápida, a compra é muito bom.",5,positivo
"Ainda assim a embalagem era bonita, poderia ser melhor, a compra é ruim.",1,negativo
"Chegou antes do prazo, a embalagem é impecável.",4,positivo
"O produto é horrível, demorou para chegar.",2,negativo
"Chegou quebrado, a embalagem é horrível, porém chegou rápido.",2,negativo
"A compra é ótimo, entrega rápida.",4,positivo
"Não recomendo, a entrega é horrível.",1,negativo
"Valeu o preço, a compra é bacana.",5,positivo
"A entrega é ruim, abaixo do esperado.",1,negativo
"Cumpre o que promete, é ok.",5,positivo
"O pedido é bacana, boa qualidade.",5,positivo
"Chegou antes do prazo, a compra é maravilhoso.",4,positivo
"O atendimento é maravilhoso, valeu o preço.",5,positivo
"Atendimento atencioso, a compra é perfeito, só achei meio caro.",5,positivo
Esperava mais mas serve.,3,neutro
"O pedido é horrível, tive problema na troca.",1,negativo
"A compra é decepcionante, tive problema na troca.",1,negativo
"O pedido é decepcionante, demorou para chegar.",2,negativo
"A entrega é bacana, entrega rápida.",5,positivo
Mediano.,3,neutro
"O pedido é muito bom, entrega rápida.",5,positivo
"O produto é maravilhoso, boa qualidade.",2,negativo
"Apesar de um arranhão na caixa, o pedido é muito bom, recomendo.",4,positivo
"Abaixo do esperado, o produto é ruim.",2,negativo
"O produto é frustrante, demorou para chegar.",1,negativo
"Poderia ser melhor, o atendimento é péssimo.",1,negativo
"Dentro do esperado, chegou quebrado.",5,positivo
"O atendimento é muito bom, atendimento atencioso.",4,positivo
"Veio com defeito, a embalagem é péssimo.",1,negativo
"O produto é excelente, entrega rápida.",4,positivo
"O pedido é maravilhoso, entrega rápida.",4,positivo
"Apesar de um arranhão na caixa, a embalagem é muito bom, entrega rápida.",5,positivo
"Atende ao básico, é ok.",5,positivo
"Boa qualidade, a compra é incrível.",4,positivo
Dentro do esperado.,3,neutro
"A embalagem é bacana, entrega rápida.",5,positivo
"Superou as expectativas, mas a entrega demorou um pouco, a entrega é incrível.",5,positivo
"Atendimento atencioso, o produto é perfeito.",4,positivo
Esperava mais mas serve.,5,positivo
"Demorou para chegar, comum, sem destaque, é ok.",3,neutro
"O pedido é frustrante, não recomendo.",1,negativo
"A embalagem é excelente, atendimento atencioso.",5,positivo
"Superou as expectativas, o produto é ótimo.",4,positivo
"Chegou quebrado, o pedido é fraco.",1,negativo
"Atendimento atencioso, a entrega é perfeito.",5,positivo
"Apesar de um arranhão na caixa, voltarei a comprar, o produto é impecável.",5,positivo
"Tive problema na troca, a entrega é frustrante.",2,negativo
"Só achei meio caro, o atendimento é muito bom, recomendo.",4,positivo
"Superou as expectativas, o produto é ótimo.",4,positivo
"A compra é maravilhoso, valeu o preço.",5,positivo
"A compra é ótimo, boa qualidade, mas a entrega demorou um pouco.",4,positivo
"Superou as expectativas, o produto é muito bom.",5,positivo
"Mas a entrega demorou um pouco, boa qualidade, a embalagem é excelente.",5,positivo
"Tive problema na troca, a embalagem é decepcionante.",1,negativo
"Abaixo do esperado, porém chegou rápido, a entrega é fraco.",4,positivo
"O produto é muito bom, valeu o preço.",4,positivo
"Razoável pelo preço, dentro do esperado.",3,neutro
Razoável pelo preço.,3,neutro
"Valeu o preço, a embalagem é incrível.",4,positivo
"O atendimento é incrível, entrega rápida.",5,positivo
"O atendimento é incrível, entrega rápida.",5,positivo
"Apesar de um arranhão na caixa, a compra é perfeito, recomendo.",5,positivo
"A compra é fraco, poderia ser melhor.",1,negativo
"O atendimento é bacana, boa qualidade.",5,positivo
"O produto é muito bom, boa qualidade.",5,positivo
"Boa qualidade, o atendimento é excelente.",4,positivo
"Chegou quebrado, o atendimento é péssimo.",1,negativo
"A entrega é excelente, voltarei a comprar.",4,positivo
"Esperava mais mas serve, demorou para chegar, razoável pelo preço.",3,neutro
"Boa qualidade, a compra é impecável.",4,positivo
"A embalagem é frustrante, abaixo do esperado.",2,negativo
"Valeu o preço, a embalagem é impecável, apesar de um arranhão na caixa.",4,positivo
"A entrega é perfeito, voltarei a comprar.",4,positivo
"A entrega é incrível, superou as expectativas.",5,positivo
"A entrega é bacana, boa qualidade.",4,positivo
"Não recomendo, o produto é ruim, mas o atendimento tentou ajudar.",2,negativo
"A embalagem é horrível, não recomendo.",1,negativo
"A entrega é impecável, atendimento atencioso.",3,neutro
"O produto é ótimo, recomendo.",4,positivo
"A entrega é maravilhoso, entrega rápida.",4,positivo
"Poderia ser melhor, o produto é decepcionante.",5,positivo
"A embalagem é fraco, veio com defeito.",1,negativo
Esperava mais mas serve.,3,neutro
"O atendimento é maravilhoso, valeu o preço.",5,positivo
"Não recomendo, o pedido é frustrante.",1,negativo
"Superou as expectativas, o produto é maravilhoso.",5,positivo
"Valeu o preço, o pedido é maravilhoso.",3,neutro
"O atendimento é incrível, atendimento atencioso.",5,positivo
"Mas o atendimento tentou ajudar, a compra é ruim, abaixo do esperado.",1,negativo
"É ok, é ok, recomendo.",3,neutro
"A compra é ruim, abaixo do esperado.",1,negativo
"Recomendo, o produto é incrível.",5,positivo
"A embalagem é maravilhoso, voltarei a comprar.",5,positivo
"Mas a entrega demorou um pouco, valeu o preço, o pedido é maravilhoso.",4,positivo
"Atendimento atencioso, o produto é ótimo.",5,positivo
"O atendimento é maravilhoso, mas a entrega demorou um pouco, atendimento atencioso.",5,positivo
"O atendimento é incrível, recomendo.",5,positivo
"O atendimento é perfeito, só achei meio caro, boa qualidade.",5,positivo
"Mas a entrega demorou um pouco, a compra é incrível, atendimento atencioso.",4,positivo
"A entrega é excelente, entrega rápida.",5,positivo
"A compra é muito bom, boa qualidade.",4,positivo
"Voltarei a comprar, o pedido é excelente.",4,positivo
"A embalagem é muito bom, valeu o preço.",5,positivo
"A entrega é decepcionante, poderia ser melhor.",1,negativo
"Veio com defeito, a entrega é horrível.",1,negativo
"O pedido é decepcionante, tive problema na troca.",1,negativo
"Tive problema na troca, a embalagem é fraco.",2,negativo
"Abaixo do esperado, o atendimento é horrível.",1,negativo
"O pedido é incrível, superou as expectativas.",4,positivo
"O produto é excelente, voltarei a comprar.",4,positivo
"Chegou antes do prazo, a compra é perfeito.",5,positivo
"O atendimento é frustrante, abaixo do esperado.",1,negativo
"Chegou quebrado, a embalagem é decepcionante.",1,negativo
"Abaixo do esperado, a entrega é decepcionante.",2,negativo
"A compra é perfeito, voltarei a comprar.",5,positivo
"Chegou quebrado, o pedido é ruim.",2,negativo
"Boa qualidade, a entrega é maravilhoso.",4,positivo
"A compra é ruim, não recomendo.",2,negativo
"Mas a entrega demorou um pouco, entrega rápida, o atendimento é bacana.",4,positivo
"A compra é perfeito, chegou antes do prazo.",4,positivo
"Dentro do esperado, é ok.",5,positivo
"Esperava mais mas serve, comum, sem destaque.",3,neutro
"Poderia ser melhor, o pedido é fraco.",2,negativo
"A compra é ruim, demorou para chegar.",2,negativo
"Não recomendo, porém chegou rápido, a compra é fraco.",2,negativo
"Comum, sem destaque, atende ao básico.",3,neutro
"Superou as expectativas, a compra é impecável.",4,positivo
"Valeu o preço, o produto é ótimo.",5,positivo
"O atendimento é fraco, não recomendo.",2,negativo
"Valeu o preço, a entrega é bacana.",2,negativo
"Atendimento atencioso, a entrega é bacana.",4,positivo
"O atendimento é horrível, chegou quebrado.",2,negativo
"Razoável pelo preço, razoável pelo preço.",4,positivo
"É ok, é ok.",5,positivo
"Valeu o preço, o produto é maravilhoso.",4,positivo
"Comum, sem destaque.",5,positivo
"A embalagem é fraco, tive problema na troca.",2,negativo
"Abaixo do esperado, a embalagem é ruim.",2,negativo
"A compra é horrível, tive problema na troca.",2,negativo
"O atendimento é ótimo, atendimento atencioso.",4,positivo
"Boa qualidade, a compra é perfeito, apesar de um arranhão na caixa.",4,positivo
"A embalagem é muito bom, recomendo.",5,positivo
"Atendimento atencioso, a compra é muito bom.",5,positivo
"Abaixo do esperado, o atendimento é péssimo.",2,negativo
"Cumpre o que promete, atende ao básico.",3,neutro
"Voltarei a comprar, a compra é perfeito.",5,positivo
"Apesar de um arranhão na caixa, o produto é ótimo, superou as expectativas.",4,positivo
"Entrega rápida, a compra é excelente.",4,positivo
"O pedido é impecável, entrega rápida.",5,positivo
"Abaixo do esperado, o pedido é ruim.",1,negativo
"O atendimento é bacana, voltarei a comprar.",5,positivo
"Atendimento atencioso, a embalagem é perfeito.",4,positivo
"O pedido é fraco, tive problema na troca, ainda assim a embalagem era bonita.",2,negativo
"Só achei meio caro, valeu o preço, o atendimento é muito bom.",4,positivo
"Entrega rápida, o pedido é muito bom.",5,positivo
"Valeu o preço, a embalagem é maravilhoso.",4,positivo
"Chegou antes do prazo, a embalagem é incrível.",5,positivo
"O pedido é incrível, atendimento atencioso.",5,positivo
"O produto é horrível, tive problema na troca.",2,negativo
"Chegou antes do prazo, o atendimento é muito bom.",5,positivo
"Dentro do esperado, dentro do esperado.",3,neutro
"Recomendo, o pedido é incrível.",4,positivo
"O produto é incrível, valeu o preço.",5,positivo
"Demorou para chegar, o produto é péssimo.",2,negativo
"Atende ao básico, cumpre o que promete, abaixo do esperado.",3,neutro
"Boa qualidade, o produto é maravilhoso.",2,negativo
"Demorou para chegar, o atendimento é péssimo.",1,negativo
"Atende ao básico, chegou quebrado.",3,neutro
"O atendimento é maravilhoso, atendimento atencioso.",5,positivo
"A compra é maravilhoso, valeu o preço.",5,positivo
"A entrega é perfeito, voltarei a comprar.",4,positivo
"A compra é incrível, entrega rápida.",5,positivo
"Só achei meio caro, recomendo, a entrega é ótimo.",4,positivo
"É ok, é ok.",3,neutro
"Não recomendo, a compra é péssimo.",1,negativo
"A embalagem é horrível, tive problema na troca.",1,negativo
"O atendimento é maravilhoso, atendimento atencioso.",5,positivo
"Veio com defeito, a entrega é fraco.",1,negativo
"A entrega é excelente, recomendo.",3,neutro
"O pedido é frustrante, demorou para chegar.",2,negativo
"Poderia ser melhor, a entrega é fraco.",1,negativo
"Recomendo, a entrega é maravilhoso.",4,positivo
"Atendimento atencioso, o produto é perfeito.",4,positivo
"O produto é fraco, tive problema na troca.",2,negativo
"Mediano, cumpre o que promete.",3,neutro
"Tive problema na troca, o atendimento é fraco.",2,negativo
"Entrega rápida, a embalagem é bacana.",5,positivo
"A compra é incrível, entrega rápida.",4,positivo
"A entrega é bacana, boa qualidade.",5,positivo
"Superou as expectativas, comum, sem destaque.",3,neutro
Mediano.,3,neutro
"O produto é fraco, veio com defeito.",1,negativo
"A embalagem é impecável, superou as expectativas.",5,positivo
"O produto é ótimo, atendimento atencioso, só achei meio caro.",4,positivo
"A compra é bacana, atendimento atencioso.",5,positivo
"Voltarei a comprar, o produto é incrível.",4,positivo
"O atendimento é incrível, entrega rápida.",5,positivo
"Boa qualidade, a compra é excelente.",5,positivo
"A compra é péssimo, tive problema na troca.",2,negativo
"A embalagem é fraco, demorou para chegar.",2,negativo
"Não recomendo, o atendimento é ruim.",2,negativo
"Atendimento atencioso, esperava mais mas serve.",3,neutro
"Chegou quebrado, o atendimento é frustrante.",2,negativo
"Boa qualidade, o atendimento é impecável.",5,positivo
"Demorou para chegar, a compra é horrível.",1,negativo
"Veio com defeito, a entrega é frustrante.",2,negativo
"Mas a entrega demorou um pouco, recomendo, o pedido é bacana.",1,negativo
"Superou as expectativas, o pedido é impecável.",5,positivo
"A entrega é ótimo, atendimento atencioso.",5,positivo
"Só achei meio caro, boa qualidade, a entrega é ótimo.",5,positivo
"Abaixo do esperado, o pedido é horrível.",2,negativo
"Cumpre o que promete, atende ao básico.",1,negativo
"O pedido é horrível, tive problema na troca.",1,negativo
"A entrega é muito bom, superou as expectativas, apesar de um arranhão na caixa.",5,positivo
É ok.,5,positivo
"O produto é impecável, boa qualidade.",4,positivo
"Valeu o preço, o atendimento é perfeito.",3,neutro
Esperava mais mas serve.,3,neutro
"Recomendo, atende ao básico.",4,positivo
"O pedido é decepcionante, tive problema na troca.",1,negativo
"O atendimento é perfeito, atendimento atencioso.",4,positivo
"Porém chegou rápido, o pedido é ruim, tive problema na troca.",1,negativo
"A entrega é ruim, não recomendo.",2,negativo
"O produto é bacana, chegou antes do prazo.",4,positivo
"A entrega é maravilhoso, boa qualidade, apesar de um arranhão na caixa.",4,positivo
"O atendimento é impecável, valeu o preço.",5,positivo
"Só achei meio caro, entrega rápida, a embalagem é perfeito.",4,positivo
"Entrega rápida, a entrega é maravilhoso.",5,positivo
"A compra é incrível, atendimento atencioso.",4,positivo
"Não recomendo, a entrega é frustrante.",1,negativo
"O pedido é decepcionante, demorou para chegar.",4,positivo
"Abaixo do esperado, o atendimento é horrível.",1,negativo
"Razoável pelo preço, não recomendo.",3,neutro
"Valeu o preço, a compra é muito bom.",3,neutro
"Atendimento atencioso, a compra é incrível.",5,positivo
"Veio com defeito, o atendimento é decepcionante, mas o atendimento tentou ajudar.",2,negativo
"A embalagem é bacana, valeu o preço.",5,positivo
Mediano.,1,negativo
"Atendimento atencioso, a compra é perfeito.",5,positivo
"A entrega é horrível, poderia ser melhor.",1,negativo
Cumpre o que promete.,5,positivo
"Não recomendo, mediano, mediano.",1,negativo
"O pedido é maravilhoso, entrega rápida.",5,positivo
"Não recomendo, a compra é horrível.",1,negativo
"O atendimento é horrível, poderia ser melhor.",1,negativo
"O pedido é frustrante, chegou quebrado.",1,negativo
"Valeu o preço, a entrega é impecável.",4,positivo
"Superou as expectativas, o pedido é impecável.",4,positivo
"Cumpre o que promete, recomendo, é ok.",3,neutro
"A compra é bacana, entrega rápida.",1,negativo
